UNITID,school,applications,admissions,year,exists,admit_rate
231192,Woodbury College,23.0,22.0,2007,False,0.9565217391304348
230825,Burlington College,69.0,43.0,2007,False,0.6231884057971014
231077,College of St Joseph,101.0,89.0,2007,True,0.8811881188118812
231086,Southern Vermont College,344.0,316.0,2007,True,0.9186046511627907
231095,Sterling College,97.0,74.0,2007,True,0.7628865979381443
231165,Vermont Technical College,862.0,486.0,2007,True,0.5638051044083526
231174,University of Vermont,18814.0,13079.0,2007,True,0.695173806739662
247649,Landmark College,296.0,206.0,2007,True,0.6959459459459459
231059,Saint Michael's College,3504.0,2423.0,2007,True,0.6914954337899544
230898,Green Mountain College,1287.0,935.0,2007,True,0.7264957264957265
230959,Middlebury College,6205.0,1339.0,2007,True,0.21579371474617245
230940,Marlboro College,440.0,273.0,2007,True,0.6204545454545455
230931,Lyndon State College,1171.0,1039.0,2007,True,0.8872758326216909
230913,Johnson State College,1023.0,827.0,2007,True,0.8084066471163245
230889,Goddard College,9.0,9.0,2007,True,1.0
230852,Champlain College,2723.0,1602.0,2007,True,0.5883217040029379
230834,Castleton University,1828.0,1303.0,2007,True,0.712800875273523
230816,Bennington College,1012.0,633.0,2007,True,0.6254940711462451
230995,Norwich University,2662.0,1678.0,2007,True,0.6303531179564238
230825,Burlington College,93.0,50.0,2008,False,0.5376344086021505
231086,Southern Vermont College,454.0,421.0,2008,True,0.9273127753303965
231095,Sterling College,104.0,81.0,2008,True,0.7788461538461539
231165,Vermont Technical College,886.0,550.0,2008,True,0.6207674943566591
231174,University of Vermont,21062.0,13651.0,2008,True,0.6481340803342512
247649,Landmark College,352.0,261.0,2008,True,0.7414772727272727
231059,Saint Michael's College,3618.0,2489.0,2008,True,0.6879491431730238
230898,Green Mountain College,1579.0,1115.0,2008,True,0.7061431285623813
230959,Middlebury College,7180.0,1479.0,2008,True,0.20598885793871866
230940,Marlboro College,472.0,311.0,2008,True,0.6588983050847458
230931,Lyndon State College,1081.0,1011.0,2008,True,0.9352451433857539
230913,Johnson State College,1033.0,845.0,2008,True,0.8180058083252663
230889,Goddard College,12.0,12.0,2008,True,1.0
230852,Champlain College,2980.0,2189.0,2008,True,0.7345637583892617
230834,Castleton University,2219.0,1508.0,2008,True,0.679585398828301
230816,Bennington College,1057.0,651.0,2008,True,0.6158940397350994
230995,Norwich University,2962.0,1948.0,2008,True,0.6576637407157326
230825,Burlington College,126.0,104.0,2009,False,0.8253968253968254
231077,College of St Joseph,143.0,112.0,2009,True,0.7832167832167832
231086,Southern Vermont College,352.0,329.0,2009,True,0.9346590909090909
231095,Sterling College,94.0,74.0,2009,True,0.7872340425531915
231165,Vermont Technical College,785.0,488.0,2009,True,0.621656050955414
231174,University of Vermont,22365.0,15856.0,2009,True,0.7089649005141963
247649,Landmark College,326.0,239.0,2009,True,0.7331288343558282
231059,Saint Michael's College,3618.0,2489.0,2009,True,0.6879491431730238
230898,Green Mountain College,1496.0,923.0,2009,True,0.6169786096256684
230959,Middlebury College,6904.0,1413.0,2009,True,0.20466396292004635
230940,Marlboro College,390.0,278.0,2009,True,0.7128205128205128
230931,Lyndon State College,1123.0,1023.0,2009,True,0.9109528049866429
230913,Johnson State College,964.0,816.0,2009,True,0.8464730290456431
230889,Goddard College,14.0,14.0,2009,True,1.0
230852,Champlain College,2934.0,2271.0,2009,True,0.7740286298568507
230834,Castleton University,2368.0,1665.0,2009,True,0.703125
230816,Bennington College,1053.0,695.0,2009,True,0.6600189933523267
230995,Norwich University,3319.0,2168.0,2009,True,0.6532087978306719
230825,Burlington College,146.0,128.0,2010,False,0.8767123287671232
231077,College of St Joseph,149.0,104.0,2010,True,0.697986577181208
231086,Southern Vermont College,406.0,324.0,2010,True,0.7980295566502463
231095,Sterling College,71.0,53.0,2010,True,0.7464788732394366
231165,Vermont Technical College,822.0,516.0,2010,True,0.6277372262773723
231174,University of Vermont,22317.0,15752.0,2010,True,0.7058296365999014
247649,Landmark College,395.0,212.0,2010,True,0.5367088607594936
231059,Saint Michael's College,3363.0,2773.0,2010,True,0.8245614035087719
230898,Green Mountain College,948.0,914.0,2010,True,0.9641350210970464
230959,Middlebury College,7984.0,1375.0,2010,True,0.1722194388777555
230940,Marlboro College,275.0,243.0,2010,True,0.8836363636363637
230931,Lyndon State College,1021.0,998.0,2010,True,0.9774730656219393
230913,Johnson State College,928.0,752.0,2010,True,0.8103448275862069
230889,Goddard College,13.0,13.0,2010,True,1.0
230852,Champlain College,3077.0,2604.0,2010,True,0.8462788430289243
230834,Castleton University,2293.0,1675.0,2010,True,0.7304840819886611
230816,Bennington College,1089.0,708.0,2010,True,0.650137741046832
230995,Norwich University,3443.0,2260.0,2010,True,0.6564042985768226
230825,Burlington College,178.0,151.0,2011,False,0.848314606741573
231077,College of St Joseph,146.0,101.0,2011,True,0.6917808219178082
231086,Southern Vermont College,435.0,340.0,2011,True,0.7816091954022989
231095,Sterling College,53.0,47.0,2011,True,0.8867924528301887
231165,Vermont Technical College,597.0,482.0,2011,True,0.8073701842546064
231174,University of Vermont,22342.0,16841.0,2011,True,0.7537821144033658
247649,Landmark College,400.0,250.0,2011,True,0.625
231059,Saint Michael's College,4474.0,3493.0,2011,True,0.780733124720608
230898,Green Mountain College,1305.0,872.0,2011,True,0.668199233716475
230959,Middlebury College,7984.0,1375.0,2011,True,0.1722194388777555
230940,Marlboro College,212.0,185.0,2011,True,0.8726415094339622
230931,Lyndon State College,1115.0,1100.0,2011,True,0.9865470852017937
230913,Johnson State College,903.0,861.0,2011,True,0.9534883720930233
230889,Goddard College,4.0,4.0,2011,True,1.0
230852,Champlain College,2587.0,2188.0,2011,True,0.8457672980286045
230834,Castleton University,1935.0,1669.0,2011,True,0.8625322997416021
230816,Bennington College,1145.0,829.0,2011,True,0.7240174672489083
230995,Norwich University,3442.0,2261.0,2011,True,0.6568855316676351
230825,Burlington College,222.0,174.0,2012,False,0.7837837837837838
231077,College of St Joseph,185.0,154.0,2012,True,0.8324324324324325
231086,Southern Vermont College,536.0,428.0,2012,True,0.7985074626865671
231095,Sterling College,53.0,48.0,2012,True,0.9056603773584906
231165,Vermont Technical College,600.0,506.0,2012,True,0.8433333333333334
231174,University of Vermont,21808.0,16716.0,2012,True,0.766507703595011
247649,Landmark College,254.0,201.0,2012,True,0.7913385826771654
231059,Saint Michael's College,4578.0,3570.0,2012,True,0.7798165137614679
230898,Green Mountain College,1109.0,748.0,2012,True,0.6744815148782687
230959,Middlebury College,8533.0,1563.0,2012,True,0.1831712176256885
230940,Marlboro College,256.0,201.0,2012,True,0.78515625
230931,Lyndon State College,1492.0,1459.0,2012,True,0.9778820375335121
230913,Johnson State College,877.0,852.0,2012,True,0.9714937286202965
230889,Goddard College,10.0,10.0,2012,True,1.0
230852,Champlain College,4444.0,3286.0,2012,True,0.7394239423942395
230834,Castleton University,2358.0,2096.0,2012,True,0.8888888888888888
230816,Bennington College,1236.0,779.0,2012,True,0.6302588996763754
230995,Norwich University,3135.0,2030.0,2012,True,0.6475279106858054
230825,Burlington College,199.0,165.0,2013,False,0.8291457286432161
231077,College of St Joseph,183.0,125.0,2013,True,0.6830601092896175
231086,Southern Vermont College,336.0,334.0,2013,True,0.9940476190476191
231095,Sterling College,49.0,46.0,2013,True,0.9387755102040817
231165,Vermont Technical College,568.0,469.0,2013,True,0.8257042253521126
231174,University of Vermont,22381.0,17357.0,2013,True,0.7755238818640812
247649,Landmark College,266.0,230.0,2013,True,0.8646616541353384
231059,Saint Michael's College,4431.0,3328.0,2013,True,0.751071992778154
230898,Green Mountain College,773.0,584.0,2013,True,0.7554980595084088
230959,Middlebury College,8847.0,1518.0,2013,True,0.17158358765683282
230940,Marlboro College,232.0,176.0,2013,True,0.7586206896551724
230931,Lyndon State College,1354.0,1345.0,2013,True,0.9933530280649926
230913,Johnson State College,864.0,837.0,2013,True,0.96875
230889,Goddard College,4.0,4.0,2013,True,1.0
230852,Champlain College,5047.0,3573.0,2013,True,0.7079453140479492
230834,Castleton University,2251.0,2072.0,2013,True,0.9204797867614394
230816,Bennington College,1130.0,733.0,2013,True,0.6486725663716815
230995,Norwich University,3081.0,1956.0,2013,True,0.634858812074002
230825,Burlington College,236.0,185.0,2014,False,0.7838983050847458
231077,College of St Joseph,337.0,221.0,2014,True,0.655786350148368
231086,Southern Vermont College,303.0,284.0,2014,True,0.9372937293729373
231095,Sterling College,68.0,67.0,2014,True,0.9852941176470589
231165,Vermont Technical College,470.0,391.0,2014,True,0.8319148936170213
231174,University of Vermont,24233.0,17797.0,2014,True,0.7344117525688111
247649,Landmark College,268.0,231.0,2014,True,0.8619402985074627
231059,Saint Michael's College,4299.0,3459.0,2014,True,0.8046057222609909
230898,Green Mountain College,973.0,665.0,2014,True,0.6834532374100719
230959,Middlebury College,8195.0,1407.0,2014,True,0.17169005491153141
230940,Marlboro College,212.0,173.0,2014,True,0.8160377358490566
230931,Lyndon State College,1168.0,1158.0,2014,True,0.9914383561643836
230913,Johnson State College,926.0,884.0,2014,True,0.9546436285097192
230889,Goddard College,7.0,7.0,2014,True,1.0
230852,Champlain College,5593.0,3589.0,2014,True,0.6416949758626855
230834,Castleton University,2022.0,1853.0,2014,True,0.9164193867457963
230816,Bennington College,1101.0,740.0,2014,True,0.6721162579473207
230995,Norwich University,3138.0,2063.0,2014,True,0.6574251115360102
231077,College of St Joseph,234.0,165.0,2015,True,0.7051282051282052
231086,Southern Vermont College,499.0,315.0,2015,True,0.6312625250501002
231095,Sterling College,105.0,73.0,2015,True,0.6952380952380952
231165,Vermont Technical College,443.0,376.0,2015,True,0.8487584650112867
231174,University of Vermont,25274.0,17907.0,2015,True,0.708514679116879
247649,Landmark College,487.0,292.0,2015,True,0.5995893223819302
231059,Saint Michael's College,4767.0,3621.0,2015,True,0.7595972309628697
230898,Green Mountain College,825.0,544.0,2015,True,0.6593939393939394
230959,Middlebury College,8891.0,1551.0,2015,True,0.17444606905859858
230940,Marlboro College,144.0,136.0,2015,True,0.9444444444444444
230931,Lyndon State College,1180.0,1162.0,2015,True,0.9847457627118644
230913,Johnson State College,850.0,809.0,2015,True,0.951764705882353
230889,Goddard College,12.0,12.0,2015,True,1.0
230852,Champlain College,5587.0,3697.0,2015,True,0.6617146948272776
230834,Castleton University,2076.0,2009.0,2015,True,0.9677263969171483
230816,Bennington College,1099.0,693.0,2015,True,0.6305732484076433
230995,Norwich University,3538.0,2018.0,2015,True,0.5703787450537027
231077,College of St Joseph,313.0,180.0,2016,True,0.5750798722044729
231086,Southern Vermont College,484.0,299.0,2016,True,0.6177685950413223
231095,Sterling College,73.0,70.0,2016,True,0.958904109589041
231165,Vermont Technical College,463.0,407.0,2016,True,0.8790496760259179
231174,University of Vermont,22476.0,15495.0,2016,True,0.6894020288307529
247649,Landmark College,484.0,175.0,2016,True,0.3615702479338843
231059,Saint Michael's College,5013.0,3860.0,2016,True,0.7699980051865151
230898,Green Mountain College,881.0,692.0,2016,True,0.7854710556186152
230959,Middlebury College,8819.0,1423.0,2016,True,0.16135616283025286
230940,Marlboro College,231.0,153.0,2016,True,0.6623376623376623
230931,Lyndon State College,1204.0,1184.0,2016,True,0.9833887043189369
230913,Johnson State College,1038.0,987.0,2016,True,0.9508670520231214
230889,Goddard College,16.0,9.0,2016,True,0.5625
230852,Champlain College,4576.0,3201.0,2016,True,0.6995192307692307
230834,Castleton University,2116.0,2017.0,2016,True,0.9532136105860114
230816,Bennington College,1236.0,741.0,2016,True,0.5995145631067961
230995,Norwich University,3604.0,2522.0,2016,True,0.6997780244173141
