,UNITID,school,exists
0,431804,Rutland Regional Medical Center School of Rad Tech,False
1,231040,Rutland Regional Medical Center,False
2,231192,Woodbury College,False
3,377494,Fletcher Allen Health Care School of Cytotech,False
4,382027,New England Culinary Institute At Essex,False
5,231110,Trinity College of Vermont,False
6,230825,Burlington College,False
7,231068,SIT Graduate Institute,True
8,231077,College of St Joseph,True
9,231086,Southern Vermont College,True
10,231095,Sterling College,True
11,231165,Vermont Technical College,True
12,231156,Vermont State Colleges-Office of The Chancellor,True
13,231174,University of Vermont,True
14,247649,Landmark College,True
15,440411,Marlboro College Graduate & Professional Studies,True
16,231059,Saint Michael's College,True
17,231147,Vermont Law School,True
18,230898,Green Mountain College,True
19,230977,New England Culinary Institute,True
20,230959,Middlebury College,True
21,230940,Marlboro College,True
22,230931,Lyndon State College,True
23,230913,Johnson State College,True
24,230889,Goddard College,True
25,230861,Community College of Vermont,True
26,230852,Champlain College,True
27,230834,Castleton University,True
28,230816,Bennington College,True
29,455992,Vermont College of Fine Arts,True
30,230995,Norwich University,True
