UNITID,school,exists,enrollment,year
431804,Rutland Regional Medical Center School of Rad Tech,False,5,2000
231192,Woodbury College,False,149,2000
382027,New England Culinary Institute At Essex,False,160,2000
230825,Burlington College,False,206,2000
231068,SIT Graduate Institute,True,490,2000
231077,College of St Joseph,True,529,2000
231086,Southern Vermont College,True,455,2000
231095,Sterling College,True,29,2000
231165,Vermont Technical College,True,1145,2000
231174,University of Vermont,True,10118,2000
247649,Landmark College,True,265,2000
231059,Saint Michael's College,True,2687,2000
231147,Vermont Law School,True,573,2000
230898,Green Mountain College,True,631,2000
230977,New England Culinary Institute,True,177,2000
230959,Middlebury College,True,2298,2000
230940,Marlboro College,True,416,2000
230931,Lyndon State College,True,1214,2000
230913,Johnson State College,True,1527,2000
230889,Goddard College,True,589,2000
230861,Community College of Vermont,True,4412,2000
230852,Champlain College,True,2530,2000
230834,Castleton University,True,1605,2000
230816,Bennington College,True,632,2000
230995,Norwich University,True,2652,2000
431804,Rutland Regional Medical Center School of Rad Tech,False,13,2001
231192,Woodbury College,False,157,2001
382027,New England Culinary Institute At Essex,False,280,2001
230825,Burlington College,False,234,2001
231068,SIT Graduate Institute,True,540,2001
231077,College of St Joseph,True,482,2001
231086,Southern Vermont College,True,456,2001
231095,Sterling College,True,82,2001
231165,Vermont Technical College,True,1272,2001
231174,University of Vermont,True,10078,2001
247649,Landmark College,True,255,2001
440411,Marlboro College Graduate & Professional Studies,True,70,2001
231059,Saint Michael's College,True,2630,2001
231147,Vermont Law School,True,566,2001
230898,Green Mountain College,True,659,2001
230977,New England Culinary Institute,True,359,2001
230959,Middlebury College,True,2334,2001
230940,Marlboro College,True,426,2001
230931,Lyndon State College,True,1267,2001
230913,Johnson State College,True,1590,2001
230889,Goddard College,True,617,2001
230861,Community College of Vermont,True,4617,2001
230852,Champlain College,True,2539,2001
230834,Castleton University,True,1656,2001
230816,Bennington College,True,673,2001
230995,Norwich University,True,2512,2001
431804,Rutland Regional Medical Center School of Rad Tech,False,10,2002
231192,Woodbury College,False,165,2002
382027,New England Culinary Institute At Essex,False,235,2002
230825,Burlington College,False,275,2002
231068,SIT Graduate Institute,True,580,2002
231077,College of St Joseph,True,520,2002
231086,Southern Vermont College,True,448,2002
231095,Sterling College,True,104,2002
231165,Vermont Technical College,True,1256,2002
231174,University of Vermont,True,10314,2002
247649,Landmark College,True,374,2002
440411,Marlboro College Graduate & Professional Studies,True,83,2002
231059,Saint Michael's College,True,2639,2002
231147,Vermont Law School,True,568,2002
230898,Green Mountain College,True,661,2002
230977,New England Culinary Institute,True,295,2002
230959,Middlebury College,True,2327,2002
230940,Marlboro College,True,407,2002
230931,Lyndon State College,True,1315,2002
230913,Johnson State College,True,1646,2002
230889,Goddard College,True,502,2002
230861,Community College of Vermont,True,4982,2002
230852,Champlain College,True,2508,2002
230834,Castleton University,True,1725,2002
230816,Bennington College,True,729,2002
230995,Norwich University,True,1879,2002
431804,Rutland Regional Medical Center School of Rad Tech,False,15,2003
231192,Woodbury College,False,165,2003
382027,New England Culinary Institute At Essex,False,136,2003
230825,Burlington College,False,241,2003
231068,SIT Graduate Institute,True,541,2003
231077,College of St Joseph,True,528,2003
231086,Southern Vermont College,True,436,2003
231095,Sterling College,True,102,2003
231165,Vermont Technical College,True,1218,2003
231174,University of Vermont,True,10967,2003
247649,Landmark College,True,393,2003
440411,Marlboro College Graduate & Professional Studies,True,54,2003
231059,Saint Michael's College,True,2475,2003
231147,Vermont Law School,True,588,2003
230898,Green Mountain College,True,607,2003
230977,New England Culinary Institute,True,156,2003
230959,Middlebury College,True,2424,2003
230940,Marlboro College,True,331,2003
230931,Lyndon State College,True,1444,2003
230913,Johnson State College,True,1759,2003
230889,Goddard College,True,497,2003
230861,Community College of Vermont,True,5344,2003
230852,Champlain College,True,2584,2003
230834,Castleton University,True,1875,2003
230816,Bennington College,True,730,2003
230995,Norwich University,True,2236,2003
431804,Rutland Regional Medical Center School of Rad Tech,False,23,2004
231192,Woodbury College,False,149,2004
382027,New England Culinary Institute At Essex,False,138,2004
230825,Burlington College,False,185,2004
231068,SIT Graduate Institute,True,654,2004
231077,College of St Joseph,True,486,2004
231086,Southern Vermont College,True,461,2004
231095,Sterling College,True,96,2004
231165,Vermont Technical College,True,1332,2004
231174,University of Vermont,True,10940,2004
247649,Landmark College,True,390,2004
440411,Marlboro College Graduate & Professional Studies,True,47,2004
231059,Saint Michael's College,True,2432,2004
231147,Vermont Law School,True,639,2004
230898,Green Mountain College,True,626,2004
230977,New England Culinary Institute,True,199,2004
230959,Middlebury College,True,2357,2004
230940,Marlboro College,True,356,2004
230931,Lyndon State College,True,1349,2004
230913,Johnson State College,True,1769,2004
230889,Goddard College,True,523,2004
230861,Community College of Vermont,True,5619,2004
230852,Champlain College,True,2555,2004
230834,Castleton University,True,1971,2004
230816,Bennington College,True,763,2004
230995,Norwich University,True,2603,2004
431804,Rutland Regional Medical Center School of Rad Tech,False,8,2005
231192,Woodbury College,False,139,2005
382027,New England Culinary Institute At Essex,False,261,2005
230825,Burlington College,False,184,2005
231068,SIT Graduate Institute,True,622,2005
231077,College of St Joseph,True,475,2005
231086,Southern Vermont College,True,387,2005
231095,Sterling College,True,98,2005
231165,Vermont Technical College,True,1356,2005
231174,University of Vermont,True,11597,2005
247649,Landmark College,True,417,2005
440411,Marlboro College Graduate & Professional Studies,True,61,2005
231059,Saint Michael's College,True,2474,2005
231147,Vermont Law School,True,655,2005
230898,Green Mountain College,True,696,2005
230977,New England Culinary Institute,True,262,2005
230959,Middlebury College,True,2455,2005
230940,Marlboro College,True,341,2005
230931,Lyndon State College,True,1364,2005
230913,Johnson State College,True,1866,2005
230889,Goddard College,True,560,2005
230861,Community College of Vermont,True,5515,2005
230852,Champlain College,True,2527,2005
230834,Castleton University,True,2392,2005
230816,Bennington College,True,725,2005
230995,Norwich University,True,2486,2005
231192,Woodbury College,False,132,2006
382027,New England Culinary Institute At Essex,False,222,2006
230825,Burlington College,False,168,2006
231068,SIT Graduate Institute,True,620,2006
231077,College of St Joseph,True,509,2006
231086,Southern Vermont College,True,423,2006
231095,Sterling College,True,105,2006
231165,Vermont Technical College,True,1454,2006
231174,University of Vermont,True,11870,2006
247649,Landmark College,True,460,2006
440411,Marlboro College Graduate & Professional Studies,True,80,2006
231059,Saint Michael's College,True,2437,2006
231147,Vermont Law School,True,613,2006
230898,Green Mountain College,True,760,2006
230977,New England Culinary Institute,True,311,2006
230959,Middlebury College,True,2406,2006
230940,Marlboro College,True,337,2006
230931,Lyndon State College,True,1410,2006
230913,Johnson State College,True,1928,2006
230889,Goddard College,True,624,2006
230861,Community College of Vermont,True,5593,2006
230852,Champlain College,True,2742,2006
230834,Castleton University,True,2130,2006
230816,Bennington College,True,657,2006
230995,Norwich University,True,3104,2006
231192,Woodbury College,False,99,2007
382027,New England Culinary Institute At Essex,False,181,2007
230825,Burlington College,False,179,2007
231068,SIT Graduate Institute,True,616,2007
231077,College of St Joseph,True,442,2007
231086,Southern Vermont College,True,410,2007
231095,Sterling College,True,106,2007
231165,Vermont Technical College,True,1556,2007
231174,University of Vermont,True,12239,2007
247649,Landmark College,True,481,2007
440411,Marlboro College Graduate & Professional Studies,True,44,2007
231059,Saint Michael's College,True,2449,2007
231147,Vermont Law School,True,624,2007
230898,Green Mountain College,True,823,2007
230977,New England Culinary Institute,True,456,2007
230959,Middlebury College,True,2500,2007
230940,Marlboro College,True,313,2007
230931,Lyndon State College,True,1415,2007
230913,Johnson State College,True,1867,2007
230889,Goddard College,True,678,2007
230861,Community College of Vermont,True,5608,2007
230852,Champlain College,True,2796,2007
230834,Castleton University,True,2144,2007
230816,Bennington College,True,723,2007
230995,Norwich University,True,3442,2007
231192,Woodbury College,False,102,2008
382027,New England Culinary Institute At Essex,False,152,2008
230825,Burlington College,False,167,2008
231068,SIT Graduate Institute,True,574,2008
231077,College of St Joseph,True,428,2008
231086,Southern Vermont College,True,456,2008
231095,Sterling College,True,99,2008
231165,Vermont Technical College,True,1649,2008
231174,University of Vermont,True,12800,2008
247649,Landmark College,True,486,2008
440411,Marlboro College Graduate & Professional Studies,True,42,2008
231059,Saint Michael's College,True,2460,2008
231147,Vermont Law School,True,574,2008
230898,Green Mountain College,True,867,2008
230977,New England Culinary Institute,True,516,2008
230959,Middlebury College,True,2455,2008
230940,Marlboro College,True,326,2008
230931,Lyndon State College,True,1384,2008
230913,Johnson State College,True,1898,2008
230889,Goddard College,True,731,2008
230861,Community College of Vermont,True,5732,2008
230852,Champlain College,True,2891,2008
230834,Castleton University,True,2089,2008
230816,Bennington College,True,759,2008
230995,Norwich University,True,3309,2008
382027,New England Culinary Institute At Essex,False,84,2009
230825,Burlington College,False,174,2009
231068,SIT Graduate Institute,True,548,2009
231077,College of St Joseph,True,422,2009
231086,Southern Vermont College,True,486,2009
231095,Sterling College,True,109,2009
231165,Vermont Technical College,True,1662,2009
231174,University of Vermont,True,13391,2009
247649,Landmark College,True,499,2009
440411,Marlboro College Graduate & Professional Studies,True,73,2009
231059,Saint Michael's College,True,2466,2009
231147,Vermont Law School,True,671,2009
230898,Green Mountain College,True,858,2009
230977,New England Culinary Institute,True,633,2009
230959,Middlebury College,True,2482,2009
230940,Marlboro College,True,315,2009
230931,Lyndon State College,True,1521,2009
230913,Johnson State College,True,1964,2009
230889,Goddard College,True,768,2009
230861,Community College of Vermont,True,6299,2009
230852,Champlain College,True,2938,2009
230834,Castleton University,True,2191,2009
230816,Bennington College,True,808,2009
455992,Vermont College of Fine Arts,True,235,2009
230995,Norwich University,True,3378,2009
230825,Burlington College,False,193,2010
231068,SIT Graduate Institute,True,470,2010
231077,College of St Joseph,True,418,2010
231086,Southern Vermont College,True,493,2010
231095,Sterling College,True,105,2010
231165,Vermont Technical College,True,1656,2010
231174,University of Vermont,True,13554,2010
247649,Landmark College,True,487,2010
440411,Marlboro College Graduate & Professional Studies,True,93,2010
231059,Saint Michael's College,True,2457,2010
231147,Vermont Law School,True,704,2010
230898,Green Mountain College,True,790,2010
230977,New England Culinary Institute,True,615,2010
230959,Middlebury College,True,2532,2010
230940,Marlboro College,True,279,2010
230931,Lyndon State College,True,1436,2010
230913,Johnson State College,True,1925,2010
230889,Goddard College,True,802,2010
230861,Community College of Vermont,True,6738,2010
230852,Champlain College,True,3055,2010
230834,Castleton University,True,2215,2010
230816,Bennington College,True,811,2010
455992,Vermont College of Fine Arts,True,267,2010
230995,Norwich University,True,3477,2010
230825,Burlington College,False,187,2011
231068,SIT Graduate Institute,True,540,2011
231077,College of St Joseph,True,377,2011
231086,Southern Vermont College,True,532,2011
231095,Sterling College,True,98,2011
231165,Vermont Technical College,True,1603,2011
231174,University of Vermont,True,13478,2011
247649,Landmark College,True,488,2011
440411,Marlboro College Graduate & Professional Studies,True,110,2011
231059,Saint Michael's College,True,2461,2011
231147,Vermont Law School,True,717,2011
230898,Green Mountain College,True,717,2011
230977,New England Culinary Institute,True,557,2011
230959,Middlebury College,True,2507,2011
230940,Marlboro College,True,291,2011
230931,Lyndon State College,True,1422,2011
230913,Johnson State College,True,1859,2011
230889,Goddard College,True,754,2011
230861,Community College of Vermont,True,6578,2011
230852,Champlain College,True,3084,2011
230834,Castleton University,True,2192,2011
230816,Bennington College,True,822,2011
455992,Vermont College of Fine Arts,True,319,2011
230995,Norwich University,True,3450,2011
230825,Burlington College,False,236,2012
231068,SIT Graduate Institute,True,464,2012
231077,College of St Joseph,True,314,2012
231086,Southern Vermont College,True,555,2012
231095,Sterling College,True,94,2012
231165,Vermont Technical College,True,1645,2012
231174,University of Vermont,True,13098,2012
247649,Landmark College,True,473,2012
440411,Marlboro College Graduate & Professional Studies,True,188,2012
231059,Saint Michael's College,True,2410,2012
231147,Vermont Law School,True,735,2012
230898,Green Mountain College,True,811,2012
230977,New England Culinary Institute,True,517,2012
230959,Middlebury College,True,2516,2012
230940,Marlboro College,True,288,2012
230931,Lyndon State College,True,1508,2012
230913,Johnson State College,True,1783,2012
230889,Goddard College,True,703,2012
230861,Community College of Vermont,True,6311,2012
230852,Champlain College,True,3233,2012
230834,Castleton University,True,2156,2012
230816,Bennington College,True,826,2012
455992,Vermont College of Fine Arts,True,334,2012
230995,Norwich University,True,3499,2012
230825,Burlington College,False,243,2013
231068,SIT Graduate Institute,True,443,2013
231077,College of St Joseph,True,271,2013
231086,Southern Vermont College,True,480,2013
231095,Sterling College,True,116,2013
231165,Vermont Technical College,True,1543,2013
231174,University of Vermont,True,12723,2013
247649,Landmark College,True,494,2013
440411,Marlboro College Graduate & Professional Studies,True,114,2013
231059,Saint Michael's College,True,2378,2013
231147,Vermont Law School,True,675,2013
230898,Green Mountain College,True,840,2013
230977,New England Culinary Institute,True,462,2013
230959,Middlebury College,True,2495,2013
230940,Marlboro College,True,261,2013
230931,Lyndon State College,True,1519,2013
230913,Johnson State College,True,1692,2013
230889,Goddard College,True,592,2013
230861,Community College of Vermont,True,6200,2013
230852,Champlain College,True,3306,2013
230834,Castleton University,True,2175,2013
230816,Bennington College,True,738,2013
455992,Vermont College of Fine Arts,True,359,2013
230995,Norwich University,True,3417,2013
230825,Burlington College,False,224,2014
231068,SIT Graduate Institute,True,414,2014
231077,College of St Joseph,True,332,2014
231086,Southern Vermont College,True,455,2014
231095,Sterling College,True,116,2014
231165,Vermont Technical College,True,1542,2014
231174,University of Vermont,True,12856,2014
247649,Landmark College,True,518,2014
440411,Marlboro College Graduate & Professional Studies,True,82,2014
231059,Saint Michael's College,True,2618,2014
231147,Vermont Law School,True,642,2014
230898,Green Mountain College,True,833,2014
230977,New England Culinary Institute,True,422,2014
230959,Middlebury College,True,2533,2014
230940,Marlboro College,True,230,2014
230931,Lyndon State College,True,1430,2014
230913,Johnson State College,True,1613,2014
230889,Goddard College,True,538,2014
230861,Community College of Vermont,True,6019,2014
230852,Champlain College,True,3585,2014
230834,Castleton University,True,2183,2014
230816,Bennington College,True,755,2014
455992,Vermont College of Fine Arts,True,369,2014
230995,Norwich University,True,3671,2014
230825,Burlington College,False,152,2015
231068,SIT Graduate Institute,True,358,2015
231077,College of St Joseph,True,327,2015
231086,Southern Vermont College,True,475,2015
231095,Sterling College,True,117,2015
231165,Vermont Technical College,True,1559,2015
231174,University of Vermont,True,12815,2015
247649,Landmark College,True,466,2015
440411,Marlboro College Graduate & Professional Studies,True,90,2015
231059,Saint Michael's College,True,2367,2015
231147,Vermont Law School,True,583,2015
230898,Green Mountain College,True,864,2015
230977,New England Culinary Institute,True,379,2015
230959,Middlebury College,True,2558,2015
230940,Marlboro College,True,191,2015
230931,Lyndon State College,True,1266,2015
230913,Johnson State College,True,1514,2015
230889,Goddard College,True,512,2015
230861,Community College of Vermont,True,5983,2015
230852,Champlain College,True,4006,2015
230834,Castleton University,True,2246,2015
230816,Bennington College,True,801,2015
455992,Vermont College of Fine Arts,True,366,2015
230995,Norwich University,True,3870,2015
231068,SIT Graduate Institute,True,294,2016
231077,College of St Joseph,True,318,2016
231086,Southern Vermont College,True,374,2016
231095,Sterling College,True,146,2016
231165,Vermont Technical College,True,1645,2016
231174,University of Vermont,True,13105,2016
247649,Landmark College,True,468,2016
440411,Marlboro College Graduate & Professional Studies,True,71,2016
231059,Saint Michael's College,True,2226,2016
231147,Vermont Law School,True,581,2016
230898,Green Mountain College,True,755,2016
230977,New England Culinary Institute,True,300,2016
230959,Middlebury College,True,2549,2016
230940,Marlboro College,True,198,2016
230931,Lyndon State College,True,1256,2016
230913,Johnson State College,True,1525,2016
230889,Goddard College,True,505,2016
230861,Community College of Vermont,True,5863,2016
230852,Champlain College,True,4778,2016
230834,Castleton University,True,2342,2016
230816,Bennington College,True,805,2016
455992,Vermont College of Fine Arts,True,396,2016
230995,Norwich University,True,4219,2016
