UNITID,exists,expenses,revenues,school,tuition_fees,year
230825,False,3312041.0,3280605,Burlington College,2707575,2008
231068,True,110696345.0,100112579,SIT Graduate Institute,45703647,2008
231077,True,5217743.0,5059533,College of St Joseph,3574137,2008
231086,True,9233912.0,9075000,Southern Vermont College,5477954,2008
231095,True,4037075.0,3696866,Sterling College,1477151,2008
247649,True,23707152.0,23241147,Landmark College,17998568,2008
231059,True,76296918.0,60644841,Saint Michael's College,53321968,2008
231147,True,24105356.0,21200028,Vermont Law School,19529421,2008
230898,True,18979025.0,19304724,Green Mountain College,12727574,2008
230959,True,221762000.0,11449000,Middlebury College,119742000,2008
230940,True,14004460.0,8353767,Marlboro College,7250697,2008
230889,True,11097997.0,11363359,Goddard College,10196961,2008
230852,True,58149136.0,62027821,Champlain College,47249922,2008
230816,True,32524744.0,29362948,Bennington College,21258752,2008
455992,True,5767520.0,6159830,Vermont College of Fine Arts,4311868,2008
230995,True,143819000.0,93282000,Norwich University,52545000,2008
230825,False,3765145.0,4082326,Burlington College,3346252,2009
231068,True,113101463.0,115175191,SIT Graduate Institute,44878377,2009
231077,True,4964429.0,6364900,College of St Joseph,3851007,2009
231086,True,10326402.0,11108093,Southern Vermont College,6051282,2009
231095,True,5118051.0,5362102,Sterling College,1691438,2009
247649,True,25607442.0,26414509,Landmark College,18416964,2009
231059,True,75567648.0,79952046,Saint Michael's College,52001740,2009
231147,True,25682786.0,26733856,Vermont Law School,20916603,2009
230898,True,19553485.0,20076438,Green Mountain College,12457783,2009
230959,True,216152000.0,281326000,Middlebury College,126053000,2009
230940,True,14349196.0,16936801,Marlboro College,7160136,2009
230889,True,11450013.0,12347777,Goddard College,9869435,2009
230852,True,63314706.0,71559711,Champlain College,50762506,2009
230816,True,27856144.0,28137686,Bennington College,21931785,2009
455992,True,6524839.0,6745309,Vermont College of Fine Arts,4517921,2009
230995,True,93865000.0,111656000,Norwich University,54358000,2009
230825,False,4260342.0,5457553,Burlington College,3882265,2010
231068,True,125962585.0,136148774,SIT Graduate Institute,46912565,2010
231077,True,5219804.0,6607618,College of St Joseph,3814056,2010
231086,True,10533485.0,11557082,Southern Vermont College,6297384,2010
231095,True,4779531.0,4865754,Sterling College,1599681,2010
247649,True,25527002.0,27975376,Landmark College,18619815,2010
231059,True,73253947.0,86723813,Saint Michael's College,52148735,2010
231147,True,28975865.0,30363047,Vermont Law School,23162001,2010
230898,True,20182066.0,20598385,Green Mountain College,12139028,2010
230959,True,223404000.0,350652000,Middlebury College,132055000,2010
230940,True,13989964.0,18551842,Marlboro College,7293792,2010
230889,True,12100842.0,13130917,Goddard College,10345424,2010
230852,True,70624498.0,76203249,Champlain College,54144981,2010
230816,True,29994171.0,36469215,Bennington College,23087087,2010
455992,True,7396127.0,9844474,Vermont College of Fine Arts,4955792,2010
230995,True,98179000.0,128094000,Norwich University,54595000,2010
230825,False,5454827.0,4901647,Burlington College,4060598,2011
231068,True,132191774.0,128426239,SIT Graduate Institute,53594459,2011
231077,True,5008756.0,5036930,College of St Joseph,3457320,2011
231086,True,10964475.0,11636080,Southern Vermont College,6750749,2011
231095,True,5055384.0,5374750,Sterling College,1684521,2011
247649,True,24478065.0,25888671,Landmark College,17865843,2011
231059,True,77292130.0,76555827,Saint Michael's College,53244824,2011
231147,True,28402135.0,28850810,Vermont Law School,23503390,2011
230898,True,19974854.0,19321463,Green Mountain College,11040595,2011
230959,True,235408000.0,210661000,Middlebury College,136092000,2011
230940,True,14683821.0,12124432,Marlboro College,6942128,2011
230889,True,12692841.0,12842092,Goddard College,10143987,2011
230852,True,70915707.0,72693240,Champlain College,55687016,2011
230816,True,32106902.0,39120587,Bennington College,23616547,2011
455992,True,8185987.0,8457490,Vermont College of Fine Arts,5684951,2011
230995,True,99569000.0,83969000,Norwich University,54792000,2011
230825,False,5818875.0,5060106,Burlington College,4726412,2012
231068,True,120924188.0,121324638,SIT Graduate Institute,49396816,2012
231077,True,4711481.0,4892907,College of St Joseph,2863001,2012
231086,True,11094473.0,12144904,Southern Vermont College,6882095,2012
231095,True,5283535.0,4977219,Sterling College,1862572,2012
247649,True,24627834.0,27357256,Landmark College,17440260,2012
231059,True,78032749.0,87100304,Saint Michael's College,53726234,2012
231147,True,28781833.0,29469345,Vermont Law School,23210299,2012
230898,True,21087949.0,21976945,Green Mountain College,11028423,2012
