UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
101116,"R",10813412,"R",5380555,"R",5432857,"R",10813412,"R",14411871,"R",12121257,"R",-837477,"R",1453137,"R",-1034619,"R",5014339,"R",0,"R",5432857,"R",2573679,"R",1921543,"R",102280,"R",994451,"R",5591953,"R",5591953,"R",0,"R",9218695,"R",4495222,"R",102280,"R",0,"R",0,"R",0,"R",595674,"R",0,"R",14411871,"R",2959765,"R",0,"R",8697494,"R",463998,"R",0,"R",0,"R",12121257
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",428921,"R",0,"R",0,"Z",0,"R",428921,"R",0,"R",0,"R",579966,"Z",0,"R",0,"R",0,"R",626,"R",40127,"A",,"R",4698,"R",625417,"R",164088,"R",0,"R",232416,"A",,"R",0,"R",103199,"R",499703
101365,"R",10776084,"R",401247,"R",10374837,"R",10776084,"R",3939339,"R",4479027,"R",-70968,"R",-610656,"Z",0,"R",10988037,"R",-2544,"R",10374837,"R",1072717,"R",16050,"R",0,"R",130275,"R",1219042,"R",1219042,"Z",0,"R",2720297,"R",1088767,"R",0,"R",130275,"Z",0,"Z",0,"Z",0,"R",0,"R",3939339,"R",2346489,"Z",0,"R",2132538,"Z",0,"Z",0,"R",0,"R",4479027
101958,"R",4181959,"R",168807,"R",4013152,"R",4181959,"R",1858471,"R",2334607,"R",0,"R",-476136,"R",0,"R",3350995,"R",1138293,"R",4013152,"R",377749,"R",0,"R",0,"R",0,"R",377749,"R",0,"R",0,"R",1426090,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",432381,"R",1858471,"R",700725,"R",0,"R",0,"R",765136,"R",0,"R",868746,"R",2334607
102845,"R",34717424,"R",4943952,"R",29773472,"R",34717424,"R",60699035,"R",54489602,"R",-4062,"R",6205371,"Z",0,"R",23568101,"R",0,"R",29773472,"R",13355475,"R",4259925,"R",291801,"Z",0,"R",17907201,"R",1449709,"Z",0,"R",60673627,"Z",0,"Z",0,"Z",0,"R",415,"R",24993,"Z",0,"R",0,"R",60699035,"R",18115944,"Z",0,"R",30762548,"Z",0,"Z",0,"R",5611110,"R",54489602
103501,"R",5103703,"R",1644652,"R",3459051,"R",5103703,"R",4767101,"R",5094256,"R",0,"R",-327155,"Z",0,"R",4000987,"R",-214781,"R",3459051,"R",1281298,"R",261784,"R",256800,"R",67864,"R",1867746,"Z",0,"Z",0,"R",4589278,"Z",0,"Z",0,"Z",0,"R",117585,"R",60238,"Z",0,"R",0,"R",4767101,"R",1403372,"Z",0,"R",3690884,"Z",0,"Z",0,"R",0,"R",5094256
103644,"R",8689948,"R",1450250,"R",7239698,"R",8689948,"R",26486079,"R",29307868,"R",0,"R",-2821789,"Z",0,"R",7959091,"R",2102396,"R",7239698,"R",7793998,"R",265330,"R",2286,"Z",0,"R",8061614,"Z",0,"Z",0,"R",26486079,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",26486079,"R",17045865,"Z",0,"R",12262003,"Z",0,"Z",0,"R",0,"R",29307868
103723,"R",5794972,"R",4205247,"R",1589725,"R",5794972,"R",13131847,"R",20974762,"R",2907272,"R",-4935643,"Z",0,"R",6525368,"R",0,"R",1589725,"R",2903826,"R",1091394,"R",14463,"Z",0,"R",4009683,"R",369122,"Z",0,"R",12618864,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",474643,"R",38340,"R",13131847,"R",3400557,"Z",0,"R",16005807,"R",1170834,"Z",0,"R",397564,"R",20974762
103732,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",230430,"R",1650,"R",28556,"R",550,"R",261186,"R",0,"R",0,"R",658468,"R",0,"R",0,"R",0,"R",0,"R",138763,"A",,"R",64329,"R",861560,"R",952897,"R",0,"R",53304,"A",,"R",0,"R",188726,"R",1194927
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",793837,"R",11550,"R",92428,"R",3850,"R",901665,"R",0,"R",0,"R",1601194,"R",0,"R",0,"R",0,"R",0,"R",134707,"A",,"R",264689,"R",2000590,"R",1451035,"R",0,"R",77328,"A",,"R",0,"R",0,"R",1528363
