Year,US,Northeast,Vermont,Northeast chg,Vermont chg
2000,2850006,536680,8198,0%,0%
2001,2910675,544118,8439,1%,3%
2002,3019234,563470,8340,5%,2%
2003,3059930,576523,8410,7%,3%
2004,3095418,586806,8302,9%,1%
2005,3115511,605543,7966,13%,-3%
2006,3196104,622114,9076,16%,11%
2007,3315437,639941,9097,19%,11%
2008,3347948,641902,8376,20%,2%
2009,3440691,647036,8547,21%,4%
2010,3446268,640631,7931,19%,-3%
2011,3452793,640417,7947,19%,-3%
2012,3466888,638882,7432,19%,-9%
2013,3443012,630159,7175,17%,-12%
2014,3421456,622380,7137,16%,-13%
2015,3412947,611531,7069,14%,-14%
2016,3385917,603414,7160,12%,-13%
2017,3459580,610619,6777,14%,-17%
2018,3455113,605739,6676,13%,-19%
2019,3408037,596839,6594,11%,-20%
2020,3420211,600008,6541,12%,-20%
2021,3423639,598593,6536,12%,-20%
2022,3434723,593303,6504,11%,-21%
2023,3511409,603739,6374,12%,-22%
2024,3561051,612637,6550,14%,-20%
2025,3518463,598047,6349,11%,-23%
2026,3420010,587408,6121,9%,-25%
2027,3308160,574727,6245,7%,-24%
2028,3267826,570654,6076,6%,-26%
2029,3268233,566561,5980,6%,-27%
2030,3252714,558830,6077,4%,-26%
2031,3298597,562466,6117,5%,-25%
