UNITID,ARANK,XEMPCNTM,EMPCNTM,XEMPCNTW,EMPCNTW,XEMPCNTT,EMPCNTT 
100760,6,"Z",0,"R",1,"R",1
100760,7,"Z",0,"R",1,"R",1
101161,6,"R",1,"R",1,"R",2
101161,7,"R",1,"R",1,"R",2
101240,6,"Z",0,"R",1,"R",1
101240,7,"Z",0,"R",1,"R",1
101286,6,"R",1,"Z",0,"R",1
101286,7,"R",1,"Z",0,"R",1
101462,6,"R",1,"R",3,"R",4
101462,7,"R",1,"R",3,"R",4
101471,6,"R",1,"Z",0,"R",1
101471,7,"R",1,"Z",0,"R",1
101505,6,"R",1,"R",3,"R",4
101505,7,"R",1,"R",3,"R",4
101514,6,"R",1,"Z",0,"R",1
101514,7,"R",1,"Z",0,"R",1
101736,6,"R",1,"Z",0,"R",1
101736,7,"R",1,"Z",0,"R",1
101897,6,"Z",0,"R",1,"R",1
101897,7,"Z",0,"R",1,"R",1
102030,6,"Z",0,"R",2,"R",2
102030,7,"Z",0,"R",2,"R",2
102067,6,"R",1,"Z",0,"R",1
102067,7,"R",1,"Z",0,"R",1
102313,6,"R",3,"R",6,"R",9
102313,7,"R",3,"R",6,"R",9
102368,1,"R",5,"R",7,"R",12
102368,2,"R",7,"R",5,"R",12
102368,3,"R",1,"Z",0,"R",1
102368,5,"R",1,"Z",0,"R",1
102368,7,"R",14,"R",12,"R",26
102669,2,"R",1,"Z",0,"R",1
102669,7,"R",1,"Z",0,"R",1
104188,4,"R",1,"R",1,"R",2
104188,7,"R",1,"R",1,"R",2
104577,4,"R",1,"Z",0,"R",1
104577,7,"R",1,"Z",0,"R",1
105659,4,"R",11,"Z",0,"R",11
105659,7,"R",11,"Z",0,"R",11
106883,6,"R",1,"R",1,"R",2
106883,7,"R",1,"R",1,"R",2
108667,4,"Z",0,"R",1,"R",1
108667,7,"Z",0,"R",1,"R",1
108807,4,"R",6,"R",7,"R",13
108807,7,"R",6,"R",7,"R",13
109208,4,"Z",0,"R",1,"R",1
109208,7,"Z",0,"R",1,"R",1
109785,1,"R",1,"Z",0,"R",1
