UNITID,CONTRACT,ARANK,XTENUREM,TENUREM,XONTRCKM,ONTRCKM,XNOTRCKM,NOTRCKM,XNOFACTM,NOFACTM,XTENUREW,TENUREW,XONTRCKW,ONTRCKW,XNOTRCKW,NOTRCKW,XNOFACTW,NOFACTW,XEMPCNTT,EMPCNTT 
100654,1,1,"R",19,"R",4,"R",1,"Z",0,"R",12,"R",1,"R",1,"Z",0,"R",38
100654,1,2,"R",26,"R",8,"R",5,"Z",0,"R",8,"R",3,"R",4,"Z",0,"R",54
100654,1,3,"R",18,"R",10,"R",35,"Z",0,"R",9,"R",10,"R",17,"Z",0,"R",99
100654,1,4,"Z",0,"R",3,"R",11,"Z",0,"Z",0,"R",1,"R",25,"Z",0,"R",40
100654,1,7,"R",63,"R",25,"R",52,"Z",0,"R",29,"R",15,"R",47,"Z",0,"R",231
100654,2,1,"R",5,"R",2,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",10
100654,2,2,"R",3,"Z",0,"R",1,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",6
100654,2,3,"R",2,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"R",6
100654,2,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100654,2,7,"R",10,"R",2,"R",1,"Z",0,"R",6,"R",1,"R",3,"Z",0,"R",23
100663,1,1,"R",68,"Z",0,"R",2,"Z",0,"R",17,"Z",0,"R",1,"Z",0,"R",88
100663,1,2,"R",77,"R",3,"R",4,"Z",0,"R",45,"R",3,"R",3,"Z",0,"R",135
100663,1,3,"Z",0,"R",47,"R",27,"Z",0,"R",1,"R",27,"R",22,"Z",0,"R",124
100663,1,4,"Z",0,"Z",0,"R",17,"Z",0,"Z",0,"Z",0,"R",17,"Z",0,"R",34
100663,1,7,"R",145,"R",50,"R",50,"Z",0,"R",63,"R",30,"R",43,"Z",0,"R",381
100663,2,1,"R",80,"R",1,"R",7,"Z",0,"R",30,"R",2,"R",9,"Z",0,"R",129
100663,2,2,"R",31,"R",8,"R",21,"Z",0,"R",24,"R",9,"R",22,"Z",0,"R",115
100663,2,3,"R",1,"R",18,"R",37,"Z",0,"R",5,"R",40,"R",63,"Z",0,"R",164
100663,2,4,"Z",0,"Z",0,"R",17,"Z",0,"Z",0,"Z",0,"R",46,"Z",0,"R",63
100663,2,7,"R",112,"R",27,"R",82,"Z",0,"R",59,"R",51,"R",140,"Z",0,"R",471
100690,2,4,"Z",0,"Z",0,"R",39,"Z",0,"Z",0,"Z",0,"R",8,"Z",0,"R",47
100690,2,7,"Z",0,"Z",0,"R",39,"Z",0,"Z",0,"Z",0,"R",8,"Z",0,"R",47
100706,1,1,"R",52,"R",1,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"R",61
100706,1,2,"R",43,"R",6,"Z",0,"Z",0,"R",19,"R",3,"R",6,"Z",0,"R",77
100706,1,3,"Z",0,"R",48,"R",4,"Z",0,"R",1,"R",16,"R",15,"Z",0,"R",84
100706,1,4,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",14
100706,1,5,"Z",0,"Z",0,"R",11,"Z",0,"Z",0,"Z",0,"R",19,"Z",0,"R",30
100706,1,7,"R",95,"R",55,"R",17,"Z",0,"R",28,"R",19,"R",52,"Z",0,"R",266
100706,2,1,"R",17,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",18
100706,2,2,"R",4,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",9
100706,2,3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
100706,2,5,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",10
100706,2,7,"R",21,"R",1,"R",3,"Z",0,"R",6,"Z",0,"R",9,"Z",0,"R",40
100724,1,1,"R",35,"R",3,"R",1,"Z",0,"R",22,"Z",0,"Z",0,"Z",0,"R",61
100724,1,2,"R",14,"R",7,"R",2,"Z",0,"R",27,"R",1,"R",1,"Z",0,"R",52
100724,1,3,"R",1,"R",25,"R",10,"Z",0,"R",5,"R",24,"R",10,"Z",0,"R",75
100724,1,4,"Z",0,"Z",0,"R",14,"Z",0,"R",1,"Z",0,"R",34,"Z",0,"R",49
100724,1,7,"R",50,"R",35,"R",27,"Z",0,"R",55,"R",25,"R",45,"Z",0,"R",237
100724,2,1,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3
100724,2,2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"R",7
100724,2,3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",4
100724,2,4,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",5
100724,2,7,"R",2,"R",3,"R",3,"Z",0,"R",1,"R",8,"R",2,"Z",0,"R",19
100751,1,1,"R",226,"R",1,"R",4,"Z",0,"R",67,"Z",0,"R",4,"Z",0,"R",302
100751,1,2,"R",145,"R",10,"R",8,"Z",0,"R",83,"R",5,"R",7,"Z",0,"R",258
100751,1,3,"R",2,"R",126,"R",12,"Z",0,"R",2,"R",113,"R",30,"Z",0,"R",285
100751,1,4,"Z",0,"R",1,"R",82,"Z",0,"Z",0,"Z",0,"R",115,"Z",0,"R",198
