UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",523,"R",24789577,"R",4,"R",153717,"Z",0,"Z",0,"R",16,"R",613905,"R",70,"R",6065702,"R",40,"R",2101773,"R",36,"R",1866653,"R",108,"R",5274782,"R",1,"R",66463,"R",55,"R",1655913,"R",2,"R",87550,"R",168,"R",6034332,"R",10,"R",320400,"R",13,"R",548387
100663,"R",3164,"R",178203750,"Z",0,"Z",0,"Z",0,"Z",0,"R",131,"R",7213828,"R",302,"R",34717951,"R",531,"R",31718209,"R",507,"R",34776692,"R",199,"R",11770864,"R",74,"R",4412394,"R",523,"R",15898194,"Z",0,"Z",0,"R",531,"R",20520366,"R",291,"R",13974455,"R",75,"R",3200797
100690,"R",34,"R",2021787,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",757210,"R",3,"R",468123,"R",5,"R",387248,"R",5,"R",282480,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",40133,"Z",0,"Z",0,"R",2,"R",86593,"Z",0,"Z",0,"Z",0,"Z",0
100706,"R",976,"R",66593724,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",896261,"R",97,"R",13157264,"R",78,"R",3946664,"R",405,"R",33160954,"R",74,"R",3532993,"R",3,"R",235809,"R",98,"R",3202570,"Z",0,"Z",0,"R",179,"R",7487839,"R",21,"R",949569,"R",1,"R",23801
100724,"R",570,"R",25417867,"R",6,"R",247250,"Z",0,"Z",0,"R",66,"R",2770291,"R",64,"R",5955965,"R",36,"R",1701370,"R",29,"R",1475926,"R",82,"R",4229210,"R",2,"R",92350,"R",118,"R",3300918,"R",5,"R",164574,"R",123,"R",4085842,"R",34,"R",1248356,"R",5,"R",145815
100733,"R",89,"R",11428703,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",4282170,"R",22,"R",2182441,"R",5,"R",352274,"R",18,"R",3010615,"Z",0,"Z",0,"R",3,"R",173762,"Z",0,"Z",0,"R",26,"R",1427441,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",4229,"R",233898703,"Z",0,"Z",0,"Z",0,"Z",0,"R",187,"R",8525302,"R",531,"R",59859412,"R",474,"R",27052781,"R",443,"R",26534444,"R",516,"R",30590830,"R",210,"R",11156538,"R",684,"R",25357759,"R",29,"R",802424,"R",818,"R",27850946,"R",220,"R",11682539,"R",117,"R",4485728
100760,"R",70,"R",3805924,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",212370,"R",16,"R",1510785,"R",8,"R",360468,"R",2,"R",91738,"R",1,"R",52368,"Z",0,"Z",0,"R",13,"R",427042,"Z",0,"Z",0,"R",26,"R",1151153,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",145,"R",8617361,"Z",0,"Z",0,"Z",0,"Z",0,"R",26,"R",1665118,"R",27,"R",2688722,"R",5,"R",293043,"R",12,"R",750066,"R",7,"R",309920,"Z",0,"Z",0,"R",10,"R",402857,"Z",0,"Z",0,"R",48,"R",2013010,"R",8,"R",402858,"R",2,"R",91767
100830,"R",349,"R",17057738,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",941400,"R",109,"R",7849236,"R",19,"R",1208740,"R",39,"R",2061112,"R",19,"R",751410,"R",4,"R",147930,"R",35,"R",876310,"R",2,"R",39840,"R",101,"R",3153480,"Z",0,"Z",0,"R",1,"R",28280
100858,"R",3759,"R",224230474,"R",18,"R",1425275,"R",247,"R",15174897,"R",112,"R",5559872,"R",454,"R",55181642,"R",251,"R",15246192,"R",685,"R",39460858,"R",553,"R",36289824,"R",86,"R",5134781,"R",314,"R",10668765,"R",18,"R",735899,"R",736,"R",27330924,"R",229,"R",9438682,"R",56,"R",2582863
100937,"R",201,"R",10335447,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",1092982,"R",33,"R",3145366,"R",10,"R",526450,"R",10,"R",580374,"R",52,"R",2219611,"R",5,"R",195470,"R",17,"R",691132,"R",2,"R",56316,"R",38,"R",1350012,"R",10,"R",397738,"R",2,"R",79996
101028,"R",51,"R",2585003,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",111134,"R",14,"R",1111034,"R",1,"R",95227,"R",2,"R",92097,"R",1,"R",45188,"Z",0,"Z",0,"R",4,"R",148208,"R",1,"R",46228,"R",22,"R",866429,"R",2,"R",69458,"Z",0,"Z",0
101073,"R",73,"R",2827000,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",875000,"R",7,"R",560000,"R",5,"R",186000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",300000,"R",18,"R",696000,"R",6,"R",210000,"Z",0,"Z",0,"Z",0,"Z",0
101116,"R",35,"R",2164862,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",618620,"R",15,"R",1298486,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",194808,"R",2,"R",52948,"Z",0,"Z",0
101143,"R",73,"R",3666224,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",1076606,"R",1,"R",118483,"R",6,"R",414672,"R",4,"R",204542,"R",2,"R",116843,"Z",0,"Z",0,"R",11,"R",405244,"R",2,"R",76889,"R",30,"R",1197295,"Z",0,"Z",0,"R",1,"R",55650
101161,"R",83,"R",4299567,"Z",0,"Z",0,"Z",0,"Z",0,"R",83,"R",4299567,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
101189,"R",178,"R",8083678,"Z",0,"Z",0,"Z",0,"Z",0,"R",37,"R",1469796,"R",29,"R",2625718,"R",6,"R",235117,"R",1,"R",55000,"R",55,"R",2269851,"Z",0,"Z",0,"R",11,"R",333225,"Z",0,"Z",0,"R",39,"R",1094971,"Z",0,"Z",0,"Z",0,"Z",0
101240,"R",212,"R",11083925,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",1062351,"R",36,"R",3281445,"R",10,"R",585562,"R",14,"R",709577,"R",23,"R",1057386,"R",1,"R",47728,"R",29,"R",975599,"Z",0,"Z",0,"R",64,"R",2725799,"R",14,"R",638478,"Z",0,"Z",0
101286,"R",131,"R",7015821,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"R",1546131,"R",23,"R",2037671,"R",6,"R",257585,"R",8,"R",483092,"R",6,"R",310644,"Z",0,"Z",0,"R",7,"R",315559,"Z",0,"Z",0,"R",42,"R",1617538,"R",8,"R",305693,"R",4,"R",141908
101295,"R",166,"R",8168328,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",1128035,"R",29,"R",2569256,"R",6,"R",283561,"R",6,"R",313913,"R",5,"R",226788,"Z",0,"Z",0,"R",17,"R",686298,"Z",0,"Z",0,"R",60,"R",2194959,"R",18,"R",765518,"Z",0,"Z",0
101301,"R",91,"R",4492661,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",742127,"R",16,"R",1309170,"R",6,"R",299637,"R",3,"R",198841,"R",11,"R",504586,"Z",0,"Z",0,"R",12,"R",402851,"Z",0,"Z",0,"R",27,"R",983075,"Z",0,"Z",0,"R",1,"R",52374
101365,"R",18,"R",964752,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",561242,"R",2,"R",237090,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",50835,"Z",0,"Z",0,"R",3,"R",115585,"Z",0,"Z",0,"Z",0,"Z",0
101435,"R",141,"R",7093178,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",746649,"R",26,"R",2621608,"R",13,"R",708645,"R",3,"R",112278,"R",46,"R",1766680,"R",1,"R",40800,"R",22,"R",642146,"Z",0,"Z",0,"R",9,"R",254661,"R",6,"R",199711,"Z",0,"Z",0
101453,"R",22,"R",1106127,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",40980,"R",9,"R",645914,"R",6,"R",236197,"R",1,"R",37600,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",20000,"Z",0,"Z",0,"R",3,"R",60836,"R",1,"R",64600,"Z",0,"Z",0
101462,"R",49,"R",2315505,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",780461,"R",5,"R",448139,"R",6,"R",308948,"R",4,"R",152828,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",100481,"Z",0,"Z",0,"R",15,"R",524648,"Z",0,"Z",0,"Z",0,"Z",0
101471,"R",79,"R",5027197,"Z",0,"Z",0,"Z",0,"Z",0,"R",36,"R",2266069,"R",9,"R",945593,"R",8,"R",488727,"R",2,"R",134596,"R",3,"R",168393,"Z",0,"Z",0,"R",3,"R",141211,"Z",0,"Z",0,"R",17,"R",804896,"Z",0,"Z",0,"R",1,"R",77712
