id,Institution Name,Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
456001,Advanced Welding Institute,For-profit,,,,,,,,,,,,,,,,,,,,23,24,29,35,53,25,25,38
230816,Bennington College,Private,581,541,544,504,457,369,377,451,512,571,632,673,729,730,763,725,657,723,759,808,811,822,826,738,755,801,805
230834,Castleton University,Public,1975,2129,2027,2067,2035,1900,1851,1840,1766,1691,1605,1656,1725,1875,1971,2392,2130,2144,2089,2191,2215,2192,2156,2175,2183,2246,2342
230852,Champlain College,Private,1916,1917,1969,2056,2073,2060,2120,2249,2294,2440,2530,2539,2508,2584,2555,2527,2742,2796,2891,2938,3055,3084,3233,3306,3585,4006,4778
231077,College of St Joseph,Private,419,444,472,483,457,484,460,513,533,534,529,482,520,528,486,475,509,442,428,422,418,377,314,271,332,327,318
230861,Community College of Vermont,Public,3895,4326,4727,4753,4632,4635,4561,4493,4658,4758,4412,4617,4982,5344,5619,5515,5593,5608,5732,6299,6738,6578,6311,6200,6019,5983,5863
230889,Goddard College,Private,1317,1145,1208,1172,940,468,476,534,533,563,589,617,502,497,523,560,624,678,731,768,802,754,703,592,538,512,505
230898,Green Mountain College,Private,597,596,586,587,512,506,576,583,616,641,631,659,661,607,626,696,760,823,867,858,790,717,811,840,833,864,755
230913,Johnson State College,Public,1680,1730,1759,1670,1672,1618,1591,1622,1627,1541,1527,1590,1646,1759,1769,1866,1928,1867,1898,1964,1925,1859,1783,1692,1613,1514,1525
247649,Landmark College,Private,27,60,87,99,119,118,162,159,229,263,265,255,374,393,390,417,460,481,486,499,487,488,473,494,518,466,468
230931,Lyndon State College,Public,1344,1257,1195,1178,1191,1145,1137,1229,1159,1239,1214,1267,1315,1444,1349,1364,1410,1415,1384,1521,1436,1422,1508,1519,1430,1266,1256
230940,Marlboro College,Private,291,268,271,263,270,260,282,290,285,290,416,426,407,331,356,341,337,313,326,315,279,291,288,261,230,191,198
440411,Marlboro College Graduate & Professional Studies,Private,,,,,,,,,,,,70,83,54,47,61,80,44,42,73,93,110,188,114,82,90,71
230959,Middlebury College,Private,2039,2171,2112,2057,2047,2073,2148,2176,2280,2270,2298,2334,2327,2424,2357,2455,2406,2500,2455,2482,2532,2507,2516,2495,2533,2558,2549
230977,New England Culinary Institute,For-profit,330,174,191,207,216,263,513,333,358,336,177,359,295,156,199,262,311,456,516,633,615,557,517,462,422,379,300
230995,Norwich University,Private,2626,2777,2765,2687,2647,2739,2603,2791,2785,2706,2652,2512,1879,2236,2603,2486,3104,3442,3309,3378,3477,3450,3499,3417,3671,3870,4219
231004,O'Briens Aveda Institute,For-profit,,,,122,135,119,47,54,40,31,52,63,65,41,43,34,39,30,11,29,66,71,80,80,46,36,86
231059,Saint Michael's College,Private,2577,2603,2503,2486,2565,2628,2638,2729,2773,2628,2687,2630,2639,2475,2432,2474,2437,2449,2460,2466,2457,2461,2410,2378,2618,2367,2226
231068,SIT Graduate Institute,Private,750,864,831,434,437,408,414,391,453,456,490,540,580,541,654,622,620,616,574,548,470,540,464,443,414,358,294
231086,Southern Vermont College,Private,676,726,743,692,629,628,593,604,604,516,455,456,448,436,461,387,423,410,456,486,493,532,555,480,455,475,374
231095,Sterling College,Private,83,83,90,75,68,83,72,63,94,90,29,82,104,102,96,98,105,106,99,109,105,98,94,116,116,117,146
231174,University of Vermont,Public,11076,11171,10885,10617,10230,10351,10142,10368,10336,10206,10118,10078,10314,10967,10940,11597,11870,12239,12800,13391,13554,13478,13098,12723,12856,12815,13105
455992,Vermont College of Fine Arts,Private,,,,,,,,,,,,,,,,,,,,235,267,319,334,359,369,366,396
231147,Vermont Law School,Private,298,530,539,545,544,547,557,571,542,559,573,566,568,588,639,655,613,624,574,671,704,717,735,675,642,583,581
231156,Vermont State CollegesOffice of the Chancellor,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
231165,Vermont Technical College,Public,940,872,804,716,745,821,857,988,1003,1145,1145,1272,1256,1218,1332,1356,1454,1556,1649,1662,1656,1603,1645,1543,1542,1559,1645
