UnitId,Types of aid,Type,Category,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
230816,Bennington College,First-time full-time undergraduates,Total,158,182,171,172,201,137,127,201,190,198,168,212,197,140,192,215
230816,Bennington College,Any aid,Number receiving,139,155,143,128,145,100,95,163,137,164,141,205,187,131,186,183
230816,Bennington College,Federal grants,Number receiving,27,30,41,31,36,22,20,29,26,41,40,42,38,29,40,38
230816,Bennington College,-,Average amount,4619,4007,4178,4723,4401,4632,4153,5965,5736,6521,6956,5635,6176,6155,5767,6084
230816,Bennington College,State/Local grants,Number receiving,17,8,17,20,12,6,8,11,7,9,15,15,8,5,8,7
230816,Bennington College,-,Average amount,2483,1227,828,1100,767,942,2300,745,1272,714,1351,859,1333,2370,1082,557
230816,Bennington College,Institutional grants,Number receiving,130,147,138,118,130,92,85,150,122,157,135,201,185,130,181,181
230816,Bennington College,-,Average amount,11466,11035,12660,14955,18171,19106,20497,22586,23882,25093,23342,23592,24647,28360,33667,28055
230816,Bennington College,Loans,Number receiving,105,112,115,110,130,86,81,128,109,125,105,138,121,85,104,109
230816,Bennington College,-,Average amount,3446,3278,3712,4353,4665,3729,4325,4375,5522,6068,6289,6173,5355,6025,6384,6216
230834,Castleton University,First-time full-time undergraduates,Total,331,386,379,409,428,461,460,406,457,505,498,446,470,480,372,445
230834,Castleton University,Any aid,Number receiving,251,266,339,336,363,399,394,346,392,442,444,393,421,397,334,416
230834,Castleton University,Federal grants,Number receiving,163,150,158,146,153,139,127,123,150,179,185,158,161,154,140,158
230834,Castleton University,-,Average amount,2245,2467,2704,2611,2937,2800,2861,3523,3310,4116,4458,4085,4465,4253,5084,5092
230834,Castleton University,State/Local grants,Number receiving,114,111,164,124,129,148,112,111,133,162,164,141,163,170,136,176
230834,Castleton University,-,Average amount,1274,1505,1650,1262,1262,1476,1573,1528,1427,1583,1173,1300,1394,1229,1254,1619
230834,Castleton University,Institutional grants,Number receiving,47,78,58,36,37,53,49,79,94,100,113,121,175,185,194,304
230834,Castleton University,-,Average amount,2222,2493,2004,2565,2933,3238,2510,2930,2372,2981,3797,3655,4685,4011,4768,5047
230834,Castleton University,Loans,Number receiving,215,261,287,298,316,347,353,304,348,405,406,353,375,353,293,345
230834,Castleton University,-,Average amount,3896,3680,3335,4835,5650,5678,4510,5849,7395,6202,7265,7901,8784,8893,8857,9475
230852,Champlain College,First-time full-time undergraduates,Total,393,408,388,357,392,448,465,465,611,545,658,488,601,594,630,553
230852,Champlain College,Any aid,Number receiving,377,372,236,234,323,335,437,429,492,499,587,442,558,565,596,533
230852,Champlain College,Federal grants,Number receiving,206,295,129,178,155,137,110,92,111,121,144,123,150,147,144,125
230852,Champlain College,-,Average amount,1548,1070,1616,1669,1768,1686,3726,3446,4371,5454,5293,4738,4835,4981,4667,4858
230852,Champlain College,State/Local grants,Number receiving,162,155,120,139,114,87,101,76,78,124,102,160,101,94,86,83
230852,Champlain College,-,Average amount,2158,2153,2196,2192,2356,1861,3812,3393,3438,2983,2625,1190,2470,2821,2202,3600
230852,Champlain College,Institutional grants,Number receiving,186,180,103,120,123,116,372,212,435,457,556,415,551,556,595,530
230852,Champlain College,-,Average amount,3065,3033,3008,2822,2797,3435,5502,2680,5507,6355,8061,9472,10696,12500,13484,14990
230852,Champlain College,Loans,Number receiving,328,295,225,95,312,321,308,341,437,436,471,392,430,396,441,382
230852,Champlain College,-,Average amount,3987,4084,4105,1721,5414,3291,4214,4178,4482,5907,7488,7801,8385,8755,8219,9795
230861,Community College of Vermont,First-time full-time undergraduates,Total,150,193,192,159,196,246,168,191,227,288,341,282,267,232,235,180
230861,Community College of Vermont,Any aid,Number receiving,113,141,115,153,153,185,117,149,157,200,265,215,208,182,192,144
230861,Community College of Vermont,Federal grants,Number receiving,73,79,93,82,84,98,61,79,78,126,200,153,150,146,142,101
230861,Community College of Vermont,-,Average amount,729,2410,2813,2529,2583,2751,2546,2888,3464,3992,4032,3967,4138,4121,4716,4605
230861,Community College of Vermont,State/Local grants,Number receiving,62,69,79,90,66,96,59,74,74,87,139,128,122,137,114,93
230861,Community College of Vermont,-,Average amount,250,917,904,836,789,882,845,860,848,677,658,755,680,640,702,788
230861,Community College of Vermont,Institutional grants,Number receiving,20,10,11,7,10,6,3,14,22,42,37,27,26,50,54,41
230861,Community College of Vermont,-,Average amount,200,1103,1650,2569,1898,425,524,1820,1774,1474,1822,2052,1838,679,1070,784
230861,Community College of Vermont,Loans,Number receiving,63,84,71,87,90,116,79,88,88,108,134,96,94,72,70,59
230861,Community College of Vermont,-,Average amount,2000,2633,3240,3429,3079,3427,2837,3602,4280,3904,4552,4995,4876,4695,4419,4497
230889,Goddard College,First-time full-time undergraduates,Total,42,43,4,11,13,7,12,8,9,8,8,7,7,2,5,6
230889,Goddard College,Any aid,Number receiving,34,42,2,10,9,5,8,6,4,5,7,4,4,1,4,5
230889,Goddard College,Federal grants,Number receiving,16,17,1,7,4,4,2,5,3,2,3,2,4,1,1,4
230889,Goddard College,-,Average amount,4298,4236,4000,2764,3563,3650,3400,4330,5398,5600,5367,4819,4913,3336,7230,6300
230889,Goddard College,State/Local grants,Number receiving,6,7,1,1,2,1,2,1,2,0,1,0,0,0,1,2
230889,Goddard College,-,Average amount,1275,1311,400,2450,750,1000,775,1000,2450,-,1250,-,-,-,3000,500
230889,Goddard College,Institutional grants,Number receiving,32,41,0,0,0,1,0,2,3,2,3,2,3,1,2,2
230889,Goddard College,-,Average amount,4753,4784,0,-,-,2000,-,500,450,4929,167,219,1000,172,1000,750
230889,Goddard College,Loans,Number receiving,25,33,2,10,9,5,8,6,2,5,7,4,4,1,3,5
230889,Goddard College,-,Average amount,5342,5636,4625,6942,7056,5044,6924,9374,4625,10370,8936,6829,9032,4750,8167,6364
230898,Green Mountain College,First-time full-time undergraduates,Total,209,209,180,135,179,253,217,255,219,217,174,140,180,135,131,132
230898,Green Mountain College,Any aid,Number receiving,178,185,160,127,169,237,188,224,204,199,165,137,176,132,131,131
230898,Green Mountain College,Federal grants,Number receiving,87,78,70,37,62,86,67,85,62,72,69,60,74,55,51,59
230898,Green Mountain College,-,Average amount,5208,4198,4082,6020,5687,5165,4669,5175,6381,5995,7248,6173,6888,6761,6995,6910
230898,Green Mountain College,State/Local grants,Number receiving,49,27,22,32,43,62,42,56,31,36,31,32,28,13,15,30
230898,Green Mountain College,-,Average amount,1576,3223,3897,2281,2216,1487,2271,2940,1291,2187,2009,2401,2028,1979,1788,3704
230898,Green Mountain College,Institutional grants,Number receiving,178,185,160,110,157,218,179,215,187,198,165,126,172,131,129,127
230898,Green Mountain College,-,Average amount,6100,6300,6899,7807,8546,10997,11525,11570,10939,12251,12247,15246,20431,19781,20417,23270
230898,Green Mountain College,Loans,Number receiving,178,185,155,92,159,200,154,206,179,153,151,120,143,101,101,114
230898,Green Mountain College,-,Average amount,5800,6200,2697,6861,8041,7602,6385,6556,7071,7179,10314,7191,6849,8117,6538,6929
230913,Johnson State College,First-time full-time undergraduates,Total,231,218,226,267,235,247,265,273,296,300,253,273,236,224,221,204
230913,Johnson State College,Any aid,Number receiving,190,178,194,218,194,205,234,239,267,267,237,253,217,179,217,200
