id,school
456001,Advanced Welding Institute
230816,Bennington College
230834,Castleton University
230852,Champlain College
231077,College of St Joseph
230861,Community College of Vermont
230889,Goddard College
230898,Green Mountain College
230913,Johnson State College
247649,Landmark College
230931,Lyndon State College
230940,Marlboro College
440411,Marlboro College Graduate & Professional Studies
230959,Middlebury College
230977,New England Culinary Institute
230995,Norwich University
231004,O'Briens Aveda Institute
231059,Saint Michael's College
231068,SIT Graduate Institute
231086,Southern Vermont College
231095,Sterling College
231174,University of Vermont
455992,Vermont College of Fine Arts
231147,Vermont Law School
231156,Vermont State Colleges-Office of the Chancellor
231165,Vermont Technical College
