id,school,in-state,in-state %,out-of-state,out-of-state %,foreign countries,foreign countries %,unknown*,unknown %,total
456001,Advanced Welding Institute,9,47.40%,10,52.60%,-,-,-,-,19
230816,Bennington College,9,4.10%,170,78.00%,35,16.10%,4,1.80%,218
230834,Castleton University,315,66.20%,147,30.90%,14,2.90%,-,-,476
230852,Champlain College,106,16.00%,549,82.80%,8,1.20%,-,-,663
231077,College of St Joseph,27,50.90%,26,49.10%,-,-,-,-,53
230861,Community College of Vermont,522,93.20%,35,6.30%,3,0.50%,-,-,560
230889,Goddard College,1,11.10%,6,66.70%,2,22.20%,-,-,9
230898,Green Mountain College,19,15.20%,102,81.60%,4,3.20%,-,-,125
230913,Johnson State College,151,71.60%,60,28.40%,-,-,-,-,211
247649,Landmark College,3,2.90%,98,94.20%,3,2.90%,-,-,104
230931,Lyndon State College,161,60.80%,104,39.20%,-,-,-,-,265
230940,Marlboro College,2,3.60%,52,94.50%,1,1.80%,-,-,55
440411,Marlboro College Graduate & Professional Studies,-,-,-,-,-,-,-,-,-
230959,Middlebury College,27,4.50%,501,82.70%,56,9.20%,22,3.60%,606
230977,New England Culinary Institute,14,26.90%,37,71.20%,1,1.90%,-,-,52
230995,Norwich University,77,9.60%,705,88.20%,13,1.60%,4,0.50%,799
231004,O'Briens Aveda Institute,25,89.30%,-,-,-,-,3,10.70%,28
231059,Saint Michael's College,66,14.30%,384,83.30%,11,2.40%,-,-,461
231068,SIT Graduate Institute,-,-,-,-,-,-,-,-,-
231086,Southern Vermont College,19,25.00%,57,75.00%,-,-,-,-,76
231095,Sterling College,5,18.50%,21,77.80%,-,-,1,3.70%,27
231174,University of Vermont,524,21.00%,1544,61.90%,26,1.00%,402,16.10%,2496
455992,Vermont College of Fine Arts,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,-,-,-,-,-,-,-,-,-
231165,Vermont Technical College,181,83.00%,34,15.60%,3,1.40%,-,-,218
